Date,Open,High,Low,Close,Adj Close,Volume
2020-08-05,730.0,750.0,715.0,750.0,750.0,182812800
2020-08-06,765.0,840.0,755.0,835.0,835.0,446658400
2020-08-07,840.0,865.0,835.0,840.0,840.0,263824700
2020-08-10,840.0,840.0,800.0,825.0,825.0,100818900
2020-08-11,825.0,830.0,790.0,800.0,800.0,133787400
2020-08-12,795.0,795.0,750.0,770.0,770.0,188570300
2020-08-13,770.0,790.0,770.0,770.0,770.0,99028400
2020-08-14,780.0,805.0,775.0,785.0,785.0,209371300
2020-08-18,800.0,820.0,795.0,805.0,805.0,178541000
2020-08-19,810.0,815.0,795.0,795.0,795.0,88404200
2020-08-24,805.0,805.0,775.0,780.0,780.0,116065100
2020-08-25,780.0,795.0,775.0,790.0,790.0,69089200
2020-08-26,790.0,800.0,780.0,785.0,785.0,72181500
2020-08-27,790.0,805.0,785.0,795.0,795.0,87815900
2020-08-28,800.0,830.0,790.0,820.0,820.0,278492100
2020-08-31,830.0,855.0,810.0,820.0,820.0,229956400
2020-09-01,820.0,840.0,815.0,840.0,840.0,131125800
2020-09-02,840.0,855.0,830.0,850.0,850.0,126138900
2020-09-03,850.0,855.0,825.0,830.0,830.0,96483000
2020-09-04,820.0,830.0,800.0,825.0,825.0,93463300
2020-09-07,825.0,830.0,810.0,825.0,825.0,35138000
2020-09-08,825.0,840.0,820.0,825.0,825.0,60255800
2020-09-09,810.0,810.0,780.0,795.0,795.0,109624500
2020-09-10,785.0,790.0,740.0,740.0,740.0,121922400
2020-09-11,710.0,780.0,700.0,775.0,775.0,114696400
2020-09-14,780.0,805.0,780.0,800.0,800.0,61791200
2020-09-15,810.0,820.0,785.0,805.0,805.0,66313200
2020-09-16,805.0,810.0,785.0,795.0,795.0,31285000
2020-09-17,805.0,805.0,765.0,775.0,775.0,47543300
2020-09-18,780.0,795.0,775.0,790.0,790.0,28855300
2020-09-21,785.0,790.0,760.0,765.0,765.0,34817700
2020-09-22,750.0,755.0,725.0,735.0,735.0,52789600
2020-09-23,755.0,780.0,735.0,750.0,750.0,95405500
2020-09-24,750.0,750.0,705.0,720.0,720.0,69787900
2020-09-25,735.0,735.0,715.0,730.0,730.0,42231400
2020-09-28,730.0,740.0,715.0,725.0,725.0,23365500
2020-09-29,735.0,740.0,715.0,715.0,715.0,47576900
2020-09-30,720.0,730.0,695.0,705.0,705.0,40688700
2020-10-01,710.0,740.0,710.0,735.0,735.0,45502700
2020-10-02,735.0,735.0,705.0,725.0,725.0,56903300
2020-10-05,735.0,735.0,715.0,720.0,720.0,20089800
2020-10-06,730.0,735.0,715.0,720.0,720.0,39918300
2020-10-07,715.0,720.0,710.0,715.0,715.0,22001600
2020-10-08,720.0,730.0,715.0,720.0,720.0,28843100
2020-10-09,730.0,775.0,725.0,765.0,765.0,175465400
2020-10-12,780.0,790.0,765.0,780.0,780.0,108451600
2020-10-13,780.0,780.0,760.0,765.0,765.0,47798000
2020-10-14,775.0,955.0,775.0,955.0,955.0,1116793100
2020-10-15,1020.0,1180.0,920.0,935.0,935.0,1510069900
2020-10-16,960.0,995.0,920.0,940.0,940.0,638756000
2020-10-19,970.0,1055.0,950.0,1055.0,1055.0,1158293800
2020-10-20,1055.0,1065.0,1020.0,1035.0,1035.0,789265700
2020-10-21,1050.0,1145.0,1050.0,1100.0,1100.0,1370011500
2020-10-22,1100.0,1120.0,1075.0,1085.0,1085.0,465407900
2020-10-23,1095.0,1120.0,1060.0,1085.0,1085.0,392722300
2020-10-26,1090.0,1095.0,1060.0,1060.0,1060.0,183290100
2020-10-27,1050.0,1095.0,1050.0,1055.0,1055.0,333734100
2020-11-02,1065.0,1125.0,1055.0,1100.0,1100.0,571253300
2020-11-03,1115.0,1130.0,1105.0,1110.0,1110.0,317572700
2020-11-04,1125.0,1145.0,1100.0,1105.0,1105.0,410216500
2020-11-05,1130.0,1145.0,1115.0,1125.0,1125.0,240422000
2020-11-06,1140.0,1140.0,1115.0,1125.0,1125.0,202159600
2020-11-09,1140.0,1245.0,1135.0,1240.0,1240.0,846313500
2020-11-10,1250.0,1255.0,1195.0,1200.0,1200.0,604934300
2020-11-11,1210.0,1240.0,1185.0,1195.0,1195.0,628878500
2020-11-12,1190.0,1205.0,1165.0,1170.0,1170.0,200055900
2020-11-13,1160.0,1180.0,1155.0,1170.0,1170.0,172842400
2020-11-16,1200.0,1210.0,1180.0,1185.0,1185.0,213486900
2020-11-17,1185.0,1215.0,1175.0,1190.0,1190.0,300731400
2020-11-18,1220.0,1280.0,1215.0,1240.0,1240.0,853419900
2020-11-19,1240.0,1245.0,1220.0,1235.0,1235.0,286394100
2020-11-20,1235.0,1240.0,1200.0,1210.0,1210.0,220936900
2020-11-23,1225.0,1255.0,1215.0,1255.0,1255.0,371401400
2020-11-24,1255.0,1255.0,1220.0,1235.0,1235.0,351292500
2020-11-25,1235.0,1240.0,1195.0,1205.0,1205.0,303117600
2020-11-26,1200.0,1225.0,1195.0,1210.0,1210.0,147126800
2020-11-27,1230.0,1250.0,1215.0,1230.0,1230.0,308954300
2020-11-30,1225.0,1225.0,1145.0,1145.0,1145.0,446062400
2020-12-01,1150.0,1180.0,1105.0,1155.0,1155.0,240765000
2020-12-02,1170.0,1260.0,1170.0,1245.0,1245.0,803420400
2020-12-03,1245.0,1300.0,1235.0,1255.0,1255.0,615002200
2020-12-04,1265.0,1270.0,1235.0,1245.0,1245.0,155578400
2020-12-07,1270.0,1295.0,1260.0,1280.0,1280.0,367250700
2020-12-08,1295.0,1320.0,1285.0,1300.0,1300.0,377826500
2020-12-10,1330.0,1425.0,1330.0,1395.0,1395.0,686885600
2020-12-11,1475.0,1500.0,1435.0,1450.0,1450.0,487755900
2020-12-14,1500.0,1540.0,1490.0,1525.0,1525.0,417804400
2020-12-15,1525.0,1565.0,1495.0,1560.0,1560.0,462918300
2020-12-16,1595.0,1925.0,1590.0,1815.0,1815.0,1272844700
2020-12-17,1840.0,1880.0,1775.0,1815.0,1815.0,542949200
2020-12-18,1845.0,1960.0,1810.0,1950.0,1950.0,1083731700
2020-12-21,1965.0,2020.0,1925.0,1965.0,1965.0,627035000
2020-12-22,1950.0,1960.0,1830.0,1835.0,1835.0,678922000
2020-12-23,1830.0,1850.0,1720.0,1790.0,1790.0,659296400
2020-12-28,1825.0,2000.0,1780.0,2000.0,2000.0,992175000
2020-12-29,2050.0,2070.0,1935.0,1945.0,1945.0,739754900
2020-12-30,1945.0,1985.0,1905.0,1935.0,1935.0,535943500
2021-01-04,1970.0,2200.0,1940.0,2190.0,2190.0,1040753400
2021-01-05,2190.0,2340.0,2130.0,2230.0,2230.0,1139014700
2021-01-06,2270.0,2290.0,2130.0,2220.0,2220.0,629211500
2021-01-07,2250.0,2740.0,2240.0,2600.0,2600.0,1982112200
2021-01-08,2640.0,2750.0,2560.0,2600.0,2600.0,1052618000
2021-01-11,2560.0,2650.0,2530.0,2580.0,2580.0,521301600
2021-01-12,2580.0,2780.0,2550.0,2770.0,2770.0,1147172800
2021-01-13,2850.0,3130.0,2850.0,3120.0,3120.0,1280852600
