Date,Open,High,Low,Close,Adj Close,Volume
2020-12-01,1150.0,1180.0,1105.0,1155.0,1155.0,240765000
2020-12-02,1170.0,1260.0,1170.0,1245.0,1245.0,803420400
2020-12-03,1245.0,1300.0,1235.0,1255.0,1255.0,615002200
2020-12-04,1265.0,1270.0,1235.0,1245.0,1245.0,155578400
2020-12-07,1270.0,1295.0,1260.0,1280.0,1280.0,367250700
2020-12-08,1295.0,1320.0,1285.0,1300.0,1300.0,377826500
2020-12-10,1330.0,1425.0,1330.0,1395.0,1395.0,686885600
2020-12-11,1475.0,1500.0,1435.0,1450.0,1450.0,487755900
2020-12-14,1500.0,1540.0,1490.0,1525.0,1525.0,417804400
2020-12-15,1525.0,1565.0,1495.0,1560.0,1560.0,462918300
2020-12-16,1595.0,1925.0,1590.0,1815.0,1815.0,1272844700
2020-12-17,1840.0,1880.0,1775.0,1815.0,1815.0,542949200
2020-12-18,1845.0,1960.0,1810.0,1950.0,1950.0,1083731700
2020-12-21,1965.0,2020.0,1925.0,1965.0,1965.0,627035000
2020-12-22,1950.0,1960.0,1830.0,1835.0,1835.0,678922000
2020-12-23,1830.0,1850.0,1720.0,1790.0,1790.0,659296400
2020-12-28,1825.0,2000.0,1780.0,2000.0,2000.0,992175000
2020-12-29,2050.0,2070.0,1935.0,1945.0,1945.0,739754900
2020-12-30,1945.0,1985.0,1905.0,1935.0,1935.0,535943500
2021-01-04,1970.0,2200.0,1940.0,2190.0,2190.0,1040753400
2021-01-05,2190.0,2340.0,2130.0,2230.0,2230.0,1139014700
2021-01-06,2270.0,2290.0,2130.0,2220.0,2220.0,629211500
2021-01-07,2250.0,2740.0,2240.0,2600.0,2600.0,1982112200
2021-01-08,2640.0,2750.0,2560.0,2600.0,2600.0,1052618000
2021-01-11,2560.0,2650.0,2530.0,2580.0,2580.0,521301600
2021-01-12,2580.0,2780.0,2550.0,2770.0,2770.0,1147172800
2021-01-13,2850.0,3130.0,2850.0,3120.0,3120.0,1280852600
2021-01-14,3140.0,3440.0,3060.0,3180.0,3180.0,1499058400
2021-01-15,3300.0,3380.0,3040.0,3120.0,3120.0,915912100
2021-01-18,3000.0,3140.0,2910.0,2910.0,2910.0,930618200
2021-01-19,2810.0,2850.0,2710.0,2710.0,2710.0,360498600
2021-01-20,2540.0,3200.0,2530.0,3190.0,3190.0,1983213100
2021-01-21,3290.0,3340.0,3030.0,3090.0,3090.0,1273877400
2021-01-22,3090.0,3090.0,2880.0,2880.0,2880.0,894766800
2021-01-25,2760.0,2960.0,2680.0,2870.0,2870.0,1222991300
2021-01-26,2900.0,2930.0,2670.0,2670.0,2670.0,786819300
2021-01-27,2620.0,2740.0,2490.0,2550.0,2550.0,1341364800
2021-01-28,2470.0,2570.0,2380.0,2380.0,2380.0,731854900
2021-01-29,2370.0,2440.0,2220.0,2220.0,2220.0,450321200
2021-02-01,2090.0,2640.0,2070.0,2600.0,2600.0,2186652700
2021-02-02,2600.0,2630.0,2420.0,2420.0,2420.0,942434300
2021-02-03,2390.0,2520.0,2290.0,2330.0,2330.0,948031000
2021-02-04,2400.0,2520.0,2270.0,2400.0,2400.0,874173400
2021-02-05,2450.0,2690.0,2370.0,2660.0,2660.0,1157647700
